Driver,AvgRaceLapTime,ReadableAvgLap,PitStopCount,QualiPosition,FinalPosition,AirTemp,TrackTemp,Humidity,GP,Year,AvgQualifyingPosition,AvgFinishingPosition
PER,,,,4.0,17.0,27.23,37.82,68.62,Hungarian Grand Prix,2021,5.8,5.9
RAI,85.67376119402985,1:25.673,4.0,13.0,10.0,27.23,37.82,68.62,Hungarian Grand Prix,2021,15.8,13.5
RIC,85.99071641791045,1:25.990,3.0,11.0,11.0,27.23,37.82,68.62,Hungarian Grand Prix,2021,10.3,8.0
RUS,85.31989705882353,1:25.319,3.0,17.0,8.0,27.23,37.82,68.62,Hungarian Grand Prix,2021,12.5,14.8
SAI,84.40711764705883,1:24.407,3.0,15.0,3.0,27.23,37.82,68.62,Hungarian Grand Prix,2021,7.6,6.9
STR,,,,12.0,19.0,27.23,37.82,68.62,Hungarian Grand Prix,2021,13.4,10.9
TSU,85.31864705882353,1:25.318,3.0,16.0,6.0,27.23,37.82,68.62,Hungarian Grand Prix,2021,13.8,12.4
VER,85.29720588235294,1:25.297,5.0,3.0,9.0,27.23,37.82,68.62,Hungarian Grand Prix,2021,1.9,4.9
VET,84.20141176470588,1:24.201,3.0,10.0,20.0,27.23,37.82,68.62,Hungarian Grand Prix,2021,11.7,12.0
ALO,227.661,3:47.661,1.0,14.0,11.0,13.01,15.26,96.44,Belgian Grand Prix,2021,11.363636363636363,10.090909090909092
BOT,229.485,3:49.485,1.0,8.0,12.0,13.01,15.26,96.44,Belgian Grand Prix,2021,3.909090909090909,7.818181818181818
GAS,217.248,3:37.247,1.0,6.0,6.0,13.01,15.26,96.44,Belgian Grand Prix,2021,6.909090909090909,9.545454545454545
GIO,231.234,3:51.234,1.0,16.0,13.0,13.01,15.26,96.44,Belgian Grand Prix,2021,14.181818181818182,13.090909090909092
HAM,209.672,3:29.671,1.0,3.0,3.0,13.01,15.26,96.44,Belgian Grand Prix,2021,2.3636363636363638,3.4545454545454546
LAT,222.556,3:42.556,1.0,12.0,9.0,13.01,15.26,96.44,Belgian Grand Prix,2021,17.09090909090909,15.909090909090908
LEC,219.679,3:39.679,1.0,11.0,8.0,13.01,15.26,96.44,Belgian Grand Prix,2021,5.363636363636363,8.636363636363637
MAZ,239.064,3:59.063,1.0,20.0,17.0,13.01,15.26,96.44,Belgian Grand Prix,2021,19.363636363636363,17.636363636363637
MSC,236.578,3:56.578,1.0,18.0,16.0,13.01,15.26,96.44,Belgian Grand Prix,2021,18.3,16.454545454545453
NOR,234.181,3:54.181,1.0,10.0,14.0,13.01,15.26,96.44,Belgian Grand Prix,2021,6.090909090909091,5.454545454545454
OCO,218.65,3:38.650,1.0,9.0,7.0,13.01,15.26,96.44,Belgian Grand Prix,2021,11.363636363636363,11.363636363636363
PER,245.276,4:05.276,1.0,7.0,19.0,13.01,15.26,96.44,Belgian Grand Prix,2021,5.636363636363637,6.909090909090909
RAI,243.125,4:03.125,1.0,19.0,18.0,13.01,15.26,96.44,Belgian Grand Prix,2021,15.545454545454545,13.181818181818182
RIC,211.567,3:31.567,1.0,4.0,4.0,13.01,15.26,96.44,Belgian Grand Prix,2021,10.363636363636363,8.272727272727273
RUS,209.066,3:29.066,1.0,2.0,2.0,13.01,15.26,96.44,Belgian Grand Prix,2021,12.909090909090908,14.181818181818182
SAI,223.237,3:43.236,1.0,13.0,10.0,13.01,15.26,96.44,Belgian Grand Prix,2021,8.272727272727273,6.545454545454546
STR,241.179,4:01.179,1.0,15.0,20.0,13.01,15.26,96.44,Belgian Grand Prix,2021,13.272727272727273,11.636363636363637
TSU,235.4,3:55.400,1.0,17.0,15.0,13.01,15.26,96.44,Belgian Grand Prix,2021,14.0,11.818181818181818
VER,207.071,3:27.070,1.0,1.0,1.0,13.01,15.26,96.44,Belgian Grand Prix,2021,2.0,5.2727272727272725
VET,214.55,3:34.550,1.0,5.0,5.0,13.01,15.26,96.44,Belgian Grand Prix,2021,11.545454545454545,12.727272727272727
ALO,76.77273239436619,1:16.772,1.0,9.0,6.0,21.5,36.11,54.11,Dutch Grand Prix,2021,11.583333333333334,10.166666666666666
BOT,75.85909722222222,1:15.859,2.0,3.0,3.0,21.5,36.11,54.11,Dutch Grand Prix,2021,4.25,8.166666666666666
GAS,76.29835211267606,1:16.298,1.0,4.0,4.0,21.5,36.11,54.11,Dutch Grand Prix,2021,6.833333333333333,9.25
GIO,77.61674285714285,1:17.616,2.0,7.0,14.0,21.5,36.11,54.11,Dutch Grand Prix,2021,14.333333333333334,13.083333333333334
HAM,75.36565277777778,1:15.365,3.0,2.0,2.0,21.5,36.11,54.11,Dutch Grand Prix,2021,2.4166666666666665,3.4166666666666665
KUB,78.08361428571429,1:18.083,1.0,18.0,15.0,21.5,36.11,54.11,Dutch Grand Prix,2021,,
LAT,78.11064285714285,1:18.110,2.0,14.0,16.0,21.5,36.11,54.11,Dutch Grand Prix,2021,16.666666666666668,15.333333333333334
LEC,76.36866197183099,1:16.368,1.0,5.0,5.0,21.5,36.11,54.11,Dutch Grand Prix,2021,5.833333333333333,8.583333333333334
MAZ,79.20370731707317,1:19.203,1.0,20.0,20.0,21.5,36.11,54.11,Dutch Grand Prix,2021,19.416666666666668,17.583333333333332
MSC,79.24921739130434,1:19.249,2.0,19.0,18.0,21.5,36.11,54.11,Dutch Grand Prix,2021,18.272727272727273,16.416666666666668
NOR,76.8693661971831,1:16.869,1.0,13.0,10.0,21.5,36.11,54.11,Dutch Grand Prix,2021,6.416666666666667,6.166666666666667
OCO,76.82345070422535,1:16.823,1.0,8.0,9.0,21.5,36.11,54.11,Dutch Grand Prix,2021,11.166666666666666,11.0
PER,76.80956338028169,1:16.809,3.0,16.0,8.0,21.5,36.11,54.11,Dutch Grand Prix,2021,5.75,7.916666666666667
RIC,77.04678873239436,1:17.046,1.0,10.0,11.0,21.5,36.11,54.11,Dutch Grand Prix,2021,9.833333333333334,7.916666666666667
RUS,78.19201449275361,1:18.192,2.0,11.0,17.0,21.5,36.11,54.11,Dutch Grand Prix,2021,12.0,13.166666666666666
SAI,76.80135211267606,1:16.801,1.0,6.0,7.0,21.5,36.11,54.11,Dutch Grand Prix,2021,8.666666666666666,6.833333333333333
STR,77.46738571428571,1:17.467,1.0,12.0,12.0,21.5,36.11,54.11,Dutch Grand Prix,2021,13.416666666666666,12.333333333333334
TSU,78.26412499999999,1:18.264,1.0,15.0,19.0,21.5,36.11,54.11,Dutch Grand Prix,2021,14.25,12.083333333333334
VER,75.07493055555557,1:15.074,2.0,1.0,1.0,21.5,36.11,54.11,Dutch Grand Prix,2021,1.9166666666666667,4.916666666666667
VET,77.49915714285714,1:17.499,2.0,17.0,13.0,21.5,36.11,54.11,Dutch Grand Prix,2021,11.0,12.083333333333334
ALO,90.6776862745098,1:30.677,1.0,13.0,8.0,28.89,43.53,33.28,Italian Grand Prix,2021,11.384615384615385,9.846153846153847
BOT,90.3833137254902,1:30.383,1.0,1.0,3.0,28.89,43.53,33.28,Italian Grand Prix,2021,4.153846153846154,7.769230769230769
GAS,106.783,1:46.783,1.0,6.0,19.0,28.89,43.53,33.28,Italian Grand Prix,2021,6.615384615384615,8.846153846153847
GIO,92.10063461538462,1:32.100,2.0,10.0,13.0,28.89,43.53,33.28,Italian Grand Prix,2021,13.76923076923077,13.153846153846153
HAM,87.6894,1:27.689,,2.0,17.0,28.89,43.53,33.28,Italian Grand Prix,2021,2.3846153846153846,3.3076923076923075
KUB,90.91874509803921,1:30.918,1.0,19.0,14.0,28.89,43.53,33.28,Italian Grand Prix,2021,18.0,15.0
LAT,90.77005882352941,1:30.770,1.0,16.0,11.0,28.89,43.53,33.28,Italian Grand Prix,2021,16.46153846153846,15.384615384615385
LEC,87.71097959183673,1:27.710,1.0,8.0,4.0,28.89,43.53,33.28,Italian Grand Prix,2021,5.769230769230769,8.307692307692308
MAZ,94.47240000000001,1:34.472,3.0,20.0,16.0,28.89,43.53,33.28,Italian Grand Prix,2021,19.46153846153846,17.76923076923077
MSC,92.5578076923077,1:32.557,1.0,18.0,15.0,28.89,43.53,33.28,Italian Grand Prix,2021,18.333333333333332,16.53846153846154
NOR,89.1795,1:29.179,1.0,4.0,2.0,28.89,43.53,33.28,Italian Grand Prix,2021,6.923076923076923,6.461538461538462
OCO,90.6901568627451,1:30.690,1.0,14.0,10.0,28.89,43.53,33.28,Italian Grand Prix,2021,10.923076923076923,10.846153846153847
PER,90.14727450980394,1:30.147,1.0,9.0,5.0,28.89,43.53,33.28,Italian Grand Prix,2021,6.538461538461538,7.923076923076923
RIC,87.77742857142857,1:27.777,1.0,5.0,1.0,28.89,43.53,33.28,Italian Grand Prix,2021,9.846153846153847,8.153846153846153
RUS,90.68282352941178,1:30.682,1.0,15.0,9.0,28.89,43.53,33.28,Italian Grand Prix,2021,11.923076923076923,13.461538461538462
SAI,90.48729411764705,1:30.487,1.0,7.0,6.0,28.89,43.53,33.28,Italian Grand Prix,2021,8.461538461538462,6.846153846153846
STR,90.61945098039214,1:30.619,1.0,12.0,7.0,28.89,43.53,33.28,Italian Grand Prix,2021,13.307692307692308,12.307692307692308
TSU,,,,17.0,20.0,28.89,43.53,33.28,Italian Grand Prix,2021,14.307692307692308,12.615384615384615
VER,88.54992,1:28.549,1.0,3.0,18.0,28.89,43.53,33.28,Italian Grand Prix,2021,1.8461538461538463,4.615384615384615
VET,92.04692307692306,1:32.046,2.0,11.0,12.0,28.89,43.53,33.28,Italian Grand Prix,2021,11.461538461538462,12.153846153846153
ALO,104.19475471698114,1:44.194,2.0,6.0,6.0,19.14,21.76,61.95,Russian Grand Prix,2021,11.5,9.714285714285714
BOT,103.9346037735849,1:43.934,2.0,7.0,5.0,19.14,21.76,61.95,Russian Grand Prix,2021,3.9285714285714284,7.428571428571429
GAS,103.84325490196079,1:43.843,2.0,12.0,13.0,19.14,21.76,61.95,Russian Grand Prix,2021,6.571428571428571,9.571428571428571
GIO,104.925,1:44.924,2.0,18.0,16.0,19.14,21.76,61.95,Russian Grand Prix,2021,13.5,13.142857142857142
HAM,102.6603962264151,1:42.660,2.0,4.0,1.0,19.14,21.76,61.95,Russian Grand Prix,2021,2.357142857142857,4.285714285714286
LAT,103.43434042553191,1:43.434,1.0,14.0,19.0,19.14,21.76,61.95,Russian Grand Prix,2021,16.428571428571427,15.071428571428571
LEC,103.90870588235295,1:43.908,2.0,15.0,15.0,19.14,21.76,61.95,Russian Grand Prix,2021,5.928571428571429,8.0
MAZ,107.0004705882353,1:47.000,2.0,19.0,18.0,19.14,21.76,61.95,Russian Grand Prix,2021,19.5,17.642857142857142
MSC,104.44296875,1:44.442,1.0,17.0,20.0,19.14,21.76,61.95,Russian Grand Prix,2021,18.307692307692307,16.428571428571427
NOR,102.63738461538462,1:42.637,2.0,1.0,7.0,19.14,21.76,61.95,Russian Grand Prix,2021,6.714285714285714,6.142857142857143
OCO,104.02417647058824,1:44.024,2.0,10.0,14.0,19.14,21.76,61.95,Russian Grand Prix,2021,11.142857142857142,10.785714285714286
PER,104.35994339622641,1:44.359,2.0,9.0,9.0,19.14,21.76,61.95,Russian Grand Prix,2021,6.714285714285714,7.714285714285714
RAI,104.33879245283019,1:44.338,2.0,16.0,8.0,19.14,21.76,61.95,Russian Grand Prix,2021,15.833333333333334,13.583333333333334
RIC,103.8982641509434,1:43.898,2.0,5.0,4.0,19.14,21.76,61.95,Russian Grand Prix,2021,9.5,7.642857142857143
RUS,104.55758490566038,1:44.557,2.0,3.0,10.0,19.14,21.76,61.95,Russian Grand Prix,2021,12.142857142857142,13.142857142857142
SAI,103.83916981132074,1:43.839,2.0,2.0,3.0,19.14,21.76,61.95,Russian Grand Prix,2021,8.357142857142858,6.785714285714286
STR,104.66413207547168,1:44.664,2.0,8.0,11.0,19.14,21.76,61.95,Russian Grand Prix,2021,13.214285714285714,11.928571428571429
TSU,106.5863076923077,1:46.586,3.0,13.0,17.0,19.14,21.76,61.95,Russian Grand Prix,2021,14.5,13.142857142857142
VER,103.66550943396226,1:43.665,2.0,20.0,2.0,19.14,21.76,61.95,Russian Grand Prix,2021,1.9285714285714286,5.571428571428571
VET,103.58172549019608,1:43.581,2.0,11.0,12.0,19.14,21.76,61.95,Russian Grand Prix,2021,11.428571428571429,12.142857142857142
ALO,96.39663157894738,1:36.396,1.0,6.0,16.0,15.83,18.18,93.52,Turkish Grand Prix,2021,11.133333333333333,9.466666666666667
BOT,94.20867241379311,1:34.208,1.0,2.0,1.0,15.83,18.18,93.52,Turkish Grand Prix,2021,4.133333333333334,7.266666666666667
GAS,94.9723275862069,1:34.972,1.0,5.0,6.0,15.83,18.18,93.52,Turkish Grand Prix,2021,6.933333333333334,9.8
GIO,96.06301754385964,1:36.063,1.0,18.0,11.0,15.83,18.18,93.52,Turkish Grand Prix,2021,13.8,13.333333333333334
HAM,94.92956896551723,1:34.929,1.0,1.0,5.0,15.83,18.18,93.52,Turkish Grand Prix,2021,2.466666666666667,4.066666666666666
LAT,96.49331578947368,1:36.493,1.0,17.0,17.0,15.83,18.18,93.52,Turkish Grand Prix,2021,16.266666666666666,15.333333333333334
LEC,94.86063793103449,1:34.860,1.0,4.0,4.0,15.83,18.18,93.52,Turkish Grand Prix,2021,6.533333333333333,8.466666666666667
MAZ,98.34876785714286,1:38.348,1.0,20.0,20.0,15.83,18.18,93.52,Turkish Grand Prix,2021,19.466666666666665,17.666666666666668
MSC,97.91766071428572,1:37.917,1.0,14.0,19.0,15.83,18.18,93.52,Turkish Grand Prix,2021,18.214285714285715,16.666666666666668
NOR,95.02268965517241,1:35.022,1.0,8.0,7.0,15.83,18.18,93.52,Turkish Grand Prix,2021,6.333333333333333,6.2
OCO,96.04977192982457,1:36.049,,12.0,10.0,15.83,18.18,93.52,Turkish Grand Prix,2021,11.066666666666666,11.0
PER,94.78575862068965,1:34.785,1.0,7.0,3.0,15.83,18.18,93.52,Turkish Grand Prix,2021,6.866666666666666,7.8
RAI,96.15131578947368,1:36.151,1.0,19.0,12.0,15.83,18.18,93.52,Turkish Grand Prix,2021,15.846153846153847,13.153846153846153
RIC,96.1960350877193,1:36.196,1.0,16.0,13.0,15.83,18.18,93.52,Turkish Grand Prix,2021,9.2,7.4
RUS,96.35471929824561,1:36.354,1.0,13.0,15.0,15.83,18.18,93.52,Turkish Grand Prix,2021,11.533333333333333,12.933333333333334
SAI,95.09705172413793,1:35.097,1.0,15.0,8.0,15.83,18.18,93.52,Turkish Grand Prix,2021,7.933333333333334,6.533333333333333
STR,95.62277586206896,1:35.622,1.0,9.0,9.0,15.83,18.18,93.52,Turkish Grand Prix,2021,12.866666666666667,11.866666666666667
TSU,96.28998245614036,1:36.289,1.0,10.0,14.0,15.83,18.18,93.52,Turkish Grand Prix,2021,14.4,13.4
VER,94.46012068965517,1:34.460,1.0,3.0,2.0,15.83,18.18,93.52,Turkish Grand Prix,2021,3.1333333333333333,5.333333333333333
VET,95.71278571428572,1:35.712,2.0,11.0,18.0,15.83,18.18,93.52,Turkish Grand Prix,2021,11.4,12.133333333333333
ALO,104.27089795918366,1:44.270,3.0,14.0,18.0,28.15,37.47,61.19,United States Grand Prix,2021,10.8125,9.875
BOT,102.79785714285715,1:42.797,2.0,4.0,6.0,28.15,37.47,61.19,United States Grand Prix,2021,4.0,6.875
GAS,109.07442857142857,1:49.074,1.0,9.0,20.0,28.15,37.47,61.19,United States Grand Prix,2021,6.8125,9.5625
GIO,104.02932727272727,1:44.029,2.0,13.0,11.0,28.15,37.47,61.19,United States Grand Prix,2021,14.0625,13.1875
HAM,101.39080357142858,1:41.390,2.0,2.0,2.0,28.15,37.47,61.19,United States Grand Prix,2021,2.375,4.125
LAT,104.9729090909091,1:44.972,2.0,17.0,15.0,28.15,37.47,61.19,United States Grand Prix,2021,16.3125,15.4375
LEC,102.29996428571428,1:42.299,2.0,5.0,4.0,28.15,37.47,61.19,United States Grand Prix,2021,6.375,8.1875
MAZ,106.84564814814814,1:46.845,3.0,20.0,17.0,28.15,37.47,61.19,United States Grand Prix,2021,19.5,17.8125
MSC,105.22525925925926,1:45.225,2.0,19.0,16.0,28.15,37.47,61.19,United States Grand Prix,2021,17.933333333333334,16.8125
NOR,102.87405357142858,1:42.874,2.0,8.0,8.0,28.15,37.47,61.19,United States Grand Prix,2021,6.4375,6.25
OCO,106.166775,1:46.166,2.0,11.0,19.0,28.15,37.47,61.19,United States Grand Prix,2021,11.125,10.9375
PER,102.12098214285713,1:42.120,2.0,3.0,3.0,28.15,37.47,61.19,United States Grand Prix,2021,6.875,7.5
RAI,104.34898181818183,1:44.348,2.0,18.0,13.0,28.15,37.47,61.19,United States Grand Prix,2021,16.071428571428573,13.071428571428571
RIC,102.73939285714286,1:42.739,2.0,7.0,5.0,28.15,37.47,61.19,United States Grand Prix,2021,9.625,7.75
RUS,104.39547272727273,1:44.395,2.0,15.0,14.0,28.15,37.47,61.19,United States Grand Prix,2021,11.625,13.0625
SAI,102.858875,1:42.858,2.0,6.0,7.0,28.15,37.47,61.19,United States Grand Prix,2021,8.375,6.625
STR,104.28714545454545,1:44.287,2.0,16.0,12.0,28.15,37.47,61.19,United States Grand Prix,2021,12.625,11.6875
TSU,103.81965454545455,1:43.819,2.0,10.0,9.0,28.15,37.47,61.19,United States Grand Prix,2021,14.125,13.4375
VER,101.36699999999999,1:41.366,2.0,1.0,1.0,28.15,37.47,61.19,United States Grand Prix,2021,3.125,5.125
VET,103.85670909090909,1:43.856,2.0,12.0,10.0,28.15,37.47,61.19,United States Grand Prix,2021,11.375,12.5
ALO,84.89678571428571,1:24.896,1.0,16.0,9.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,11.0,10.352941176470589
BOT,86.26114492753624,1:26.261,4.0,1.0,15.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,4.0,6.823529411764706
GAS,84.2666338028169,1:24.266,1.0,5.0,4.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,6.9411764705882355,10.176470588235293
GIO,85.42978571428571,1:25.429,1.0,14.0,11.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,14.0,13.058823529411764
HAM,83.60057746478873,1:23.600,1.0,2.0,2.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,2.3529411764705883,4.0
LAT,86.55617391304348,1:26.556,2.0,17.0,17.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,16.352941176470587,15.411764705882353
LEC,84.50877464788732,1:24.508,1.0,8.0,5.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,6.294117647058823,7.9411764705882355
MAZ,87.7412205882353,1:27.741,2.0,19.0,18.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,19.529411764705884,17.764705882352942
MSC,,,,18.0,19.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,18.0,16.764705882352942
NOR,84.93302857142857,1:24.933,1.0,10.0,10.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,6.529411764705882,6.352941176470588
OCO,85.60655714285714,1:25.606,1.0,15.0,13.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,11.117647058823529,11.411764705882353
PER,83.6174366197183,1:23.617,1.0,4.0,3.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,6.647058823529412,7.235294117647059
RAI,84.77492857142857,1:24.774,1.0,12.0,8.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,16.2,13.066666666666666
RIC,85.44250000000001,1:25.442,2.0,7.0,12.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,9.470588235294118,7.588235294117647
RUS,86.34620289855073,1:26.346,1.0,13.0,16.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,11.823529411764707,13.117647058823529
SAI,84.5930857142857,1:24.593,1.0,6.0,6.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,8.235294117647058,6.647058823529412
STR,85.89908695652174,1:25.899,2.0,20.0,14.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,12.823529411764707,11.705882352941176
TSU,,,,9.0,20.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,13.882352941176471,13.176470588235293
VER,83.36740845070423,1:23.367,1.0,3.0,1.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,3.0,4.882352941176471
VET,84.70205714285714,1:24.702,1.0,11.0,7.0,21.21,47.58,31.21,Mexico City Grand Prix,2021,11.411764705882353,12.352941176470589
ALO,79.48371428571429,1:19.483,3.0,10.0,9.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,11.277777777777779,10.277777777777779
BOT,78.2595352112676,1:18.259,4.0,3.0,3.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,3.8333333333333335,7.277777777777778
GAS,79.24347142857143,1:19.243,4.0,5.0,7.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,6.833333333333333,9.833333333333334
GIO,80.04875714285716,1:20.048,4.0,15.0,14.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,14.0,12.944444444444445
HAM,78.06832394366197,1:18.068,4.0,1.0,1.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,2.3333333333333335,3.888888888888889
LAT,80.16661428571427,1:20.166,4.0,17.0,16.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,16.38888888888889,15.5
LEC,78.76574647887324,1:18.765,4.0,7.0,5.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,6.388888888888889,7.777777777777778
MAZ,80.84157971014493,1:20.841,3.0,20.0,17.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,19.5,17.77777777777778
MSC,81.38297101449275,1:21.382,5.0,19.0,18.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,18.0,16.88888888888889
NOR,79.52652857142857,1:19.526,5.0,8.0,10.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,6.722222222222222,6.555555555555555
OCO,79.4767,1:19.476,3.0,11.0,8.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,11.333333333333334,11.5
PER,78.63085915492958,1:18.630,5.0,4.0,4.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,6.5,7.0
RAI,79.6277,1:19.627,5.0,14.0,12.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,15.9375,12.75
RIC,81.37783673469389,1:21.377,3.0,9.0,19.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,9.333333333333334,7.833333333333333
RUS,80.01341428571429,1:20.013,4.0,18.0,13.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,11.88888888888889,13.277777777777779
SAI,78.79818309859155,1:18.798,4.0,6.0,6.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,8.11111111111111,6.611111111111111
STR,82.16448936170214,1:22.164,3.0,16.0,20.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,13.222222222222221,11.833333333333334
TSU,80.10931428571429,1:20.109,5.0,13.0,15.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,13.61111111111111,13.555555555555555
VER,78.21615492957746,1:18.216,4.0,2.0,2.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,3.0,4.666666666666667
VET,79.54492857142857,1:19.544,4.0,12.0,11.0,23.14,51.56,60.1,São Paulo Grand Prix,2021,11.38888888888889,12.055555555555555
ALO,89.96364912280701,1:29.963,1.0,5.0,3.0,26.42,30.6,75.54,Qatar Grand Prix,2021,11.210526315789474,10.210526315789474
BOT,89.53842553191488,1:29.538,1.0,3.0,20.0,26.42,30.6,75.54,Qatar Grand Prix,2021,3.789473684210526,7.052631578947368
GAS,90.70821428571428,1:30.708,2.0,4.0,11.0,26.42,30.6,75.54,Qatar Grand Prix,2021,6.7368421052631575,9.68421052631579
GIO,91.60024999999999,1:31.600,2.0,18.0,15.0,26.42,30.6,75.54,Qatar Grand Prix,2021,14.052631578947368,13.0
HAM,88.92054385964911,1:28.920,2.0,1.0,1.0,26.42,30.6,75.54,Qatar Grand Prix,2021,2.263157894736842,3.736842105263158
LAT,91.19662,1:31.196,1.0,17.0,19.0,26.42,30.6,75.54,Qatar Grand Prix,2021,16.42105263157895,15.526315789473685
LEC,90.3788947368421,1:30.378,1.0,13.0,8.0,26.42,30.6,75.54,Qatar Grand Prix,2021,6.421052631578948,7.631578947368421
MAZ,92.8882909090909,1:32.888,1.0,20.0,18.0,26.42,30.6,75.54,Qatar Grand Prix,2021,19.526315789473685,17.736842105263158
MSC,91.62842857142857,1:31.628,1.0,19.0,16.0,26.42,30.6,75.54,Qatar Grand Prix,2021,18.055555555555557,16.94736842105263
NOR,90.52117857142856,1:30.521,2.0,6.0,9.0,26.42,30.6,75.54,Qatar Grand Prix,2021,6.7894736842105265,6.7368421052631575
OCO,90.33405263157896,1:30.334,1.0,9.0,5.0,26.42,30.6,75.54,Qatar Grand Prix,2021,11.31578947368421,11.31578947368421
PER,90.01363157894737,1:30.013,2.0,11.0,4.0,26.42,30.6,75.54,Qatar Grand Prix,2021,6.368421052631579,6.842105263157895
RAI,91.16439285714286,1:31.164,2.0,16.0,14.0,26.42,30.6,75.54,Qatar Grand Prix,2021,15.823529411764707,12.705882352941176
RIC,91.10841071428571,1:31.108,1.0,14.0,12.0,26.42,30.6,75.54,Qatar Grand Prix,2021,9.31578947368421,8.421052631578947
RUS,92.48198181818182,1:32.481,2.0,15.0,17.0,26.42,30.6,75.54,Qatar Grand Prix,2021,12.210526315789474,13.263157894736842
SAI,90.35757894736841,1:30.357,1.0,7.0,7.0,26.42,30.6,75.54,Qatar Grand Prix,2021,8.0,6.578947368421052
STR,90.34640350877193,1:30.346,1.0,12.0,6.0,26.42,30.6,75.54,Qatar Grand Prix,2021,13.368421052631579,12.263157894736842
TSU,91.11423214285715,1:31.114,2.0,8.0,13.0,26.42,30.6,75.54,Qatar Grand Prix,2021,13.578947368421053,13.631578947368421
VER,89.37217543859649,1:29.372,3.0,2.0,2.0,26.42,30.6,75.54,Qatar Grand Prix,2021,2.9473684210526314,4.526315789473684
VET,90.60833928571428,1:30.608,1.0,10.0,10.0,26.42,30.6,75.54,Qatar Grand Prix,2021,11.421052631578947,12.0
